pitcherFirstName,pitcherLastName,f0_,seasonType,year
Shawn,Morimando,85.816666666666663,REG,2016
Nathan,Karns,85.814750290360067,REG,2016
Adam,Achter,85.809773123909252,REG,2016
Brandon,Finnegan,85.805890227577066,REG,2016
Edwin,Jackson,85.80082987551873,REG,2016
Matthew,Wisler,85.787107043374448,REG,2016
Scott,Alexander,85.782089552238816,REG,2016
Antonio,Bastardo,85.781299524564176,REG,2016
Justin,Grimm,85.773462783171524,REG,2016
Jeffrey,Manship,85.764314247669773,REG,2016
Dustin,Molleken,85.7627118644068,REG,2016
Michael,Montgomery,85.759845061329813,REG,2016
Nicholas,Martinez,85.740685543964247,REG,2016
Wei-Yin,Chen,85.7389516957863,REG,2016
Noel,Salas,85.729534510433382,REG,2016
Andrew,Schugel,85.725748502994023,REG,2016
Travis,Wood,85.692974013474512,REG,2016
Trevor,Cahill,85.690295358649777,REG,2016
Dalier,Hinojosa,85.688172043010738,REG,2016
Johnny,Cueto,85.6804577464789,REG,2016
David,Hernandez,85.678678678678679,REG,2016
Zachary,Neal,85.664248704663223,REG,2016
Glenn,House,85.63636363636364,REG,2016
Andrew,Butera,85.63636363636364,REG,2016
Charles,Morton,85.6297577854671,REG,2016
Gerardo,Concepcion,85.608695652173921,REG,2016
Austin,Brice,85.608294930875573,REG,2016
Andrew,Heaney,85.5909090909091,REG,2016
Patrick,Dean,85.583829787234066,REG,2016
Hector,Santiago,85.581209702179834,REG,2016
Alfredo,Simon,85.580225498699079,REG,2016
Jonathan,Papelbon,85.533447684391035,REG,2016
Erik,Johnson,85.493006993006986,REG,2016
Donn,Roach,85.489130434782609,REG,2016
Tyson,Blach,85.487804878048763,REG,2016
Lucas,Harrell,85.487238979118359,REG,2016
Jose,Berrios,85.485785953177242,REG,2016
Matthew,Belisle,85.468023255813961,REG,2016
Jeffrey,Boshers,85.467272727272714,REG,2016
Cory,Gearrin,85.458885941644581,REG,2016
Jose,Quintana,85.4540094339622,REG,2016
Nicholas,Goody,85.452336448598132,REG,2016
Joseph,Musgrove,85.431749241658167,REG,2016
Michael,Leake,85.428467419002615,REG,2016
Anthony,Morris,85.3807106598985,REG,2016
Chase,Whitley,85.369747899159663,REG,2016
Drew,VerHagen,85.369444444444468,REG,2016
Masahiro,Tanaka,85.363209130580742,REG,2016
Dario,Alvarez,85.295983086680792,REG,2016
Tyler,Wagner,85.285714285714292,REG,2016
Thomas,Wilhelmsen,85.276393831553946,REG,2016
Xavier,Cedeno,85.275071633237843,REG,2016
Tanner,Roark,85.263233601841208,REG,2016
Chasen,Shreve,85.2612456747405,REG,2016
Steven,Hathaway,85.251937984496109,REG,2016
Michael,Pelfrey,85.191717077710564,REG,2016
Jose,Alvarez,85.1895633652822,REG,2016
Bradley,Peacock,85.1730382293763,REG,2016
Ryan,Vogelsong,85.169034090909065,REG,2016
Shawn,Tolleson,85.1434782608696,REG,2016
Jonathon,Niese,85.142087212150869,REG,2016
Michael,Mariot,85.132315521628541,REG,2016
David,Bailey,85.11875,REG,2016
Anthony,Barnette,85.112513144058866,REG,2016
Jose,De Leon,85.110032362459521,REG,2016
Drew,Storen,85.106981981982031,REG,2016
Cory,Luebke,85.093333333333348,REG,2016
Lucas,Gregerson,85.091441969519352,REG,2016
Miguel,Gonzalez,85.0856085145766,REG,2016
Sean,Burnett,85.078651685393254,REG,2016
Clayton,Richard,85.047619047619051,REG,2016
Felix,Hernandez,84.9681655391961,REG,2016
Joel,De La Cruz,84.959008579599583,REG,2016
Giovany,Gonzalez,84.943887147335332,REG,2016
George,Kontos,84.942098914354645,REG,2016
Taylor,Rogers,84.912573673870369,REG,2016
Kyle,Drabek,84.888888888888886,REG,2016
Eduardo,Escobar,84.875,REG,2016
Adalberto,Mejia,84.860465116279059,REG,2016
Caleb,Cotham,84.851441241685137,REG,2016
Rafael,Martin,84.847457627118658,REG,2016
David,Huff,84.837837837837839,REG,2016
Andrew,Hutchison,84.823113207547138,REG,2016
Samuel,Solis,84.821067821067786,REG,2016
Madison,Bumgarner,84.819879187259673,REG,2016
Andrew,Cole,84.817518248175119,REG,2016
Neil,Ramirez,84.8074534161491,REG,2016
Michael,Maness,84.7948207171315,REG,2016
Anthony,DeSclafani,84.793904208998569,REG,2016
Christopher,Bassitt,84.792233009708738,REG,2016
Frederick,Porcello,84.7642960812772,REG,2016
Tyler,Glasnow,84.74017467248909,REG,2016
Miguel,Socolovich,84.7375,REG,2016
Brandon,Cunniff,84.731250000000045,REG,2016
William,Cuevas,84.707070707070713,REG,2016
Mathew,Latos,84.681219110378919,REG,2016
James,Russell,84.666666666666657,REG,2016
Colin,Rea,84.6593767085839,REG,2016
Yovani,Gallardo,84.658321743161764,REG,2016
Jason,Hammel,84.641807494489271,REG,2016
Alexander,Gonzalez,84.6145038167939,REG,2016
Tyler,Danish,84.61363636363636,REG,2016
Zachary,Phillips,84.566371681415916,REG,2016
Daniel,Mengden,84.559822747415069,REG,2016
Daniel,Winkler,84.558823529411768,REG,2016
Michael,Roth,84.547619047619037,REG,2016
Francisco,Rodriguez,84.509635974304061,REG,2016
Darwin,Barney,84.5,REG,2016
Jharel,Cotton,84.482222222222234,REG,2016
Joseph,Blanton,84.469060351413276,REG,2016
Braden,Shipley,84.442434210526343,REG,2016
Alejandro,Ramos,84.414462081128747,REG,2016
Jhoulys,Chacin,84.413919413919345,REG,2016
Robert,Zastryzny,84.373015873015873,REG,2016
Kevin,Chapman,84.351351351351354,REG,2016
Jaime,Garcia,84.3459072048284,REG,2016
Peter,Moylan,84.344674556213036,REG,2016
Matthew,Cain,84.326289620882548,REG,2016
Kristopher,Medlen,84.299389002036619,REG,2016
Ervin,Santana,84.286690530426327,REG,2016
Tyler,Lyons,84.273255813953483,REG,2016
Thomas,Koehler,84.230600062833872,REG,2016
